token,fullname,symbol,coingecko_id
FXHASH,fxhash,FXHASH,
KOKOK,KoKoK The Roach,KOKOK,kokok-the-roach
SO,Soul Labs,SOUL,
ASET,AssetLink,ASET,assetlink
WAYFINDER,Wayfinder,PROMPT,wayfinder
NILLION,Nillion,NIL,nillion
WAL,Walrus,WAL,walrus-2
CHEEMS,Cheems Token,CHEEMS,cheems-token
TRUMPOFFICIALTRUMP,Official Trump,TRUMP,official-trump
DAOSFUN,daos.fun,DAOSFUN,
SHATTERLINE,Shatterline FPS,SHATTERLINE,
INJ,Injective,INJ,injective-protocol
SPDR,SpiderSwap,SPDR,spiderswap
SNM,SONM (BEP-20),SNM,sonm
TKO,Toko Token,TKO,tokocrypto
ARPA,ARPA Chain,ARPA,arpa
MFT,Hifi Finance,MFT,hifi-finance
SUN,Sun (New),SUN,sun-token
STPT,Standard Tokenization Protocol,STPT,stp-network
TTT,The Transfer Token,TTT,
RNDR,Render Token,RNDR,render-token
SXP,Swipe Token,SWIPE,swipe
SUSD,sUSD,SUSD,nusd
IOST,IOST,IOST,iostoken
CRV,Curve DAO Token,CRV,curve-dao-token
USDN,Neutrino USD,USDN,
BUSD,Binance USD,BUSD,binance-usd
RATS,Rats (Ordinals),RATS,rats
VANRY,Vanar,VANRY,vanar-chain
CUSDC,Compound USD Coin,CUSDC,compound-usd-coin
VCNT,ViciNFT,VCNT,vicicoin
REAL,Realy Metaverse,REAL,realy-metaverse
$MICHI,MichiCoin,$MICHI,michicoin
PLS,PlutusDAO,PLS,plutusdao
ENA,Ethena,ENA,ethena
MNT,Mantle,MNT,mantle
ARB,Arbitrum,ARB,arbitrum
AAVE,Aave,AAVE,aave
FET,Fetch.ai,FET,fetch-ai
stETH,Lido Staked ETH,stETH,staked-ether
ICP,Internet Computer,ICP,internet-computer
UNI,Uniswap,UNI,uniswap
STX,Stacks,STX,blockstack
OKB,OKB,OKB,okb
USDT,Tether,USDT,tether
XLM,Stellar,XLM,stellar
DOGE,Dogecoin,DOGE,dogecoin
LTC,Litecoin,LTC,litecoin
PEPE,Pepe,PEPE,pepe
WBT,WhiteBIT,WBT,whitebit
ORDINALSWALLET,Ordinals Wallet,ORDIWALLET,
GYFI,Gyroscope,GYFI,
CITYDAO,City DAO,CITYDAO,
SUPERPOSITION,Superposition,SPO,
MEDALLION,Medallion,MEDALLION,
LINENEXT,LINE NEXT,LINENEXT,
NEXON,EraLend,ERALEND,
LYVE,Lyve Finance,LYVE,lyve-finance
DEBANK,DeBank,DEBANK,
CHAINEDGE,ChainEdge,CHAINEDGE,
SELFCHAIN,Self Chain,SELFCHAIN,
CELL,CellMates,CELL,cellmates
POTATO,PotatoSwap,POTATO,
INTMAX,Intmax,INTMAX,
TABLELAND,Tableland,TABLELAND,
D1,District One,D1,
CUBE,Cube Exchange,CUBE,
UXUY,UXUY,UXUY,
MORPHOLABS,Morpho Labs,MORPHOLABS,
SUCCINCT,Succinct,SUCCINCT,
AGC,Argocoin,AGC,argocoin
CTG,Crypto: The Game,CTG,
XLAYER,X Layer,XLAYER,
HYPERSPACE,Hyperspace,HYPERSPACE,
HINKAL,Hinkal,HINKAL,
SKYMAVIS,Sky Mavis,SKYMAVIS,
DAPDAP,DapDap,DAPDAP,
CARTRIDGE,Cartridge,CARTRIDGE,
THEBLOCK,The Block,THEBLOCK,
MOONVEIL,Moonveil,MOONVEIL,
ASTRARK,AstrArk,ASTRARK,
PRIMEV,Primev,PRIMEV,
UNION,Union,UNION,
IGNITE,Ignite Tournaments,IGNITE,
COMM,Comm,COMM,
CURIO,Curio NFT,CURIO,
HALOFI,Halofi,HALOFI,
SPIN,Spin,SPIN,
OWNERSHIP,Ownership Labs,OWNERSHIP,
ROLL,Roll,ROLL,
ESPREZZO,Esprezzo,ESPREZZO,
PHANTOM,Phantom,PHANTOM,
XION,XION,XION,
CAMP,Camp Network,CAMP,
METAMETADAO,MetaDAO,META,
ELE,Elefant,ELE,elefant
RBNT,Redbelly Network Token,RBNT,redbelly-network-token
ELXR,Elixir Finance,ELXR,elixir-finance
clonex,CLONE X - X TAKASHI MURAKAMI,CLONEX,
doodles-official,Doodles,DOODLE,
pudgypenguins,Pudgy Penguins,PPG,
decentraland,Decentraland LAND,LAND,
winds-of-yawanawa,Winds of Yawanawa by Yawanawa and Refik Anadol,YAWANAWA,
taproot-wizards,Taproot Wizards,TWZ,
DINOSTY,Age of Dino,DINOSTY,
BTCL2,B² Network,BTCL2,
PIXELS,Pixels - Farm Land,PIXELS,
LASOGETTE,Lasogette,LASOGETTE,
MITOSIS,Mitosis,MITOSIS,
MON,Pixelmon,MON,
SNL,Sport and Leisure,SNL,
NUKE,Nukem Loans,NUKE,nuk-em-loans
ITX,Intellix,ITX,intellix
CRYODAO,CryoDAO,CRYODAO,cryodao
DEBRIDGE,deBridge,DEBRIDGE,debridge
NICK,richnick,NICK,i-choose-rich-everytime
RAGNAROK,Ragnarok: Monster World,MONSTERWORLD,
LANDVERSE,Ragnarok Landverse,LANDVERSE,
KUZCO,Kuzco,KUZCO,
ROOTDATA,RootData,ROOTDATA,
SENTIENT,Sentient,SENTIENT,
KEMONOKAKI,Kemonokaki,KEMONOKAKI,
VOYA,Merlin Chain Bridged VOYA (Merlin),VOYA,merlin-chain-bridged-voya-merlin
SPACENATION,Space Nation,SPACENATION,
PARAVOX,PARAVOX,PARAVOX,
ZSUM,ZeroSum,ZSUM,zerosum
B3K,Battle of Three Kingdoms,B3K,
CONDUIT,Conduit,CONDUIT,
ONGONGOD,On God,ONG,
BONKBOT,BonkBot,BONKBOT,
OSTIUMLABS,Ostium Labs,OSTIUMLABS,
WARRIORS,Forgotten Runes Warriors Guild,WARRIORS,
CYSIC,Cysic,CYSIC,
OPTIM,Optim Finance,OPTIM,optim
FLUENT,Fluent,FLUENT,
FIBROUS,Fibrous,FIBROUS,
PIZZA,Pizza (BRC-20),PIZZA,pizza-brc20
BFX,Blast Futures Token,BFX,blast-futures-token
JEDISWAP,Jediswap,JEDISWAP,
NIMBORA,Nimbora,NIMBORA,
TRONLINK,TronLink,TRONLINK,
MADARASTARKNET,Madara Starknet,MADARASTARKNET,
TANX,TanX,TANX,
ZAPPER,Zapper,ZAPPER,zapper-protocol
GOL2,GoL2,GOL2,
POSEMESH,Posemesh,POSEMESH,
PARASAIL,Parasail,PARASAIL,
10KX,10KX,10KX,
DONEXFINANCE,DonexFinance,DONEXFINANCE,
STARKURABU,Starkurabu,STARKURABU,
STARKNETSOCIAL,StarknetSocial,STARKNETSOCIAL,
OPUS,Opus,OPUS,
UNFRAMED,Unframed,UNFRAMED,
PROTOSS,Protoss,PROTOSS,
PEPAY,PEPAY (ETH),PEPAY,
NETHERMIND,Nethermind,NETHERMIND,
WONDERSTRUCK,Wonderstruck,WONDERSTRUCK,
SOON,SOON,SOON,
INFOMON,Infomon,INFOMON,
DOLVENLABS,Dolven Labs,DOLVENLABS,
PIXELAW,PixeLAW,PIXELAW,
ARKPROJECT,Ark Project,ARKPROJECT,
SOFTWAREMANSION_XYZ,softwaremansion.xyz,SOFTWAREMANSION_XYZ,
EARLYSTARKERS,Early STARKers,EARLYSTARKERS,
TSUBASASTARKNET,Tsubasa Starknet,TSUBASASTARKNET,
XARXAR,XAR,XAR,
SOBB,SoBit,SOBB,sobit-bridge
SMOG,Smog,SMOG,smog
PIXELVERSE,Pixelverse,PIXELVERSE,pixelverse-xyz
METAMATERIAL,MetaMaterial,METAMATERIAL,
COGNI,Cogni,COGNI,
HOLONYM,Holonym,HOLONYM,
COINBASE,Coinbase,COINBASE,coinbase-wrapped-staked-eth
DPLN,DePlan,DPLN,deplan
W3GG,W3GG,W3GG,w3gg
RND,Rand,RND,rand
KIBBLE,Kibble,KIBBLE,kibble
FATGF,FATGF,FATGF,fatgf
BUTT,Buttercat,BUTT,buttercat
OPENGRADIENT,OpenGradient,OPENGRADIENT,
UNIT,Unit Network,UNIT,unit-network
AI16Z,ai16z,AI16Z,ai16z
MOONRAY,Moonray.game,MOONRAY,moonray
BIO,BIO Protocol,BIO,bio-protocol
DEBLOCK,Deblock,DEBLOCK,
GLACIS,Glacis Labs,GLACIS,
SIRIUS,first reply,SIRIUS,first-reply
LTAI,LibertAI,LTAI,libertai
OKTO,Okto,OKTO,
LOMBARD,Lombard,LOMBARD,
STUDIOMIRAI,STUDIO MIRAI,STUDIOMIRAI,
NS,SuiNS Token,NS,suins-token
PROJECT89,Project89,PROJECT89,project89
SIGNATURE,Signature by Jack Butcher,SIGNATURE,
SHOGGOTH,Shoggoth,SHOGGOTH,shoggoth
ELI5DEFI,Eli5DeFi,ELI5DEFI,
SAHARAAI,Sahara AI,SAHARAAI,
PSYPSYDAO,PsyDAO,PSY,psydao
RIFAMPICIN,Rifampicin,$RIF,rifampicin
BRAHMA,Brahma,BRAHMA,
VVAIFU,Dasha,VVAIFU,dasha
SONIC,Sonic,SONIC,sonic-svm
UNISAT,UniSat,UNISAT,
AXAL,Axal,AXAL,
NAVAL AI,NAVAL AI,NAVAL AI,naval-ai
NUFFLELABS,Nuffle Labs,NUFFLELABS,
TABI,Tabi,TABI,
MULTIPLIER,Multiplier,MULTIPLIER,
CAPX,Capx,CAPX,
SAPPY SEALS,Sappy Seals,SAPPY SEALS,
SPICENET,Spicenet,SPICENET,
BLOODLOOP,BloodLoop,BLOODLOOP,bloodloop
DZ,DZ,DZ,
NEBRANEBRA,Nebra,NEBRA,
WANDERERS,Wanderers,WANDERERS,
SPARKBALL,Sparkball,SPARKBALL,
FXN,FXN,FXN,fxn
PVP,pvp.trade,PVP,
MET,Meteora,MET,
TODAY,Today,TODAY,
SFL,Sunflower Land,SFL,sunflower-land
U2UU2UNETWORK,U2U Network,U2U,unicorn-ultra
GNUS,GNUS AI,GNUS,genius-ai
OMO,Omo,OMO,
CASTLE OF BLACKWATER,Castle Of Blackwater,CASTLE OF BLACKWATER,
KOII,Koii Network,KOII,koii
SEMANTIC,Semantic Layer,SEMANTIC,
AIPUMP,aiPump,AIPUMP,aipump
ALCH,Alchemist AI,ALCH,alchemist-ai
LLM,Large Language Model,LLM,large-language-model
APY,AgentiPy,APY,agentipy
D3,D3,D3,
XYRO,XYRO,XYRO,xyro
GTE,GTE,GTE,
ZKCLOUD,ZkCloud,ZKCLOUD,
BMT,Bubblemaps,BMT,bubblemaps
OSYSTEMS,O.SYSTEMS,OSYSTEMS,
VAPOR,Vapor,VAPOR,vapor
GAIB,GAIB,GAIB,
BARRON,Official Barron Meme,BARRON,
INCO,Inco,INCO,
AVRK,Avarik Saga,AVRK,avarik-saga
SNARKIFY,Snarkify,SNARKIFY,
ETHOSNETWORK,Ethos Network,ETHOSNETWORK,
VVVVENICETOKEN,Venice Token,VVV,venice-token
BOLTBOLT,bolt,BOLT,
YEIFINANCE,Yei Finance,YEIFINANCE,
MINTY,Minterest,MINTY,minterest
STORYPROTOCOL,Story,IP,story-2
GRVT,GRVT,GRVT,
POLARIS,Polaris,POLARIS,
FLUXFLUX,Flux,FLUX,zelcash
INFINI,Infini,INFINI,
CAR,Central African Republic Meme,CAR,central-african-republic-meme
FOGO,Fogo,FOGO,
MENDI,Mendi Finance,MENDI,mendi-finance
FLEEK,Fleek,FLEEK,
PAIN,PAIN,PAIN,pain
LOOPSCALE,Loopscale,LOOPSCALE,
AGNT,iAgent,AGNT,
SLINGSHOTDAO,SlingshotDAO,SLINGSHOTDAO,slingshot-2
XFORGE,XForge,XFORGE,
SPICE,Lowlife Forms,SPICE,
PARTICLE,Particle,PARTICLE,particle-trade
ECLIPSE,Eclipse,ES,eclipse-3
BERA,Berachain,BERA,berachain-bera
ALKIMIYA,Alkimiya,ALKIMIYA,
MERCLE,Mercle,MERCLE,
MINDNETWORK,Mind Network,MINDNETWORK,mind-network
KIBBLEKIBBLE,Kibble,KIBBLE,kibble-2
NATIVE,Native,NATIVE,
EPT,Balance,EPT,balance
TOWNS,Towns,TOWNS,towns
NYT,Novastro Chain,NOVAS,
MILKYWAY,MilkyWay,MILKYWAY,milkyway-2
SIGN,Sign,SIGN,sign-global
USDS,USDS,USDS,usds
USR,Resolv USR,USR,resolv-usr
SCUSD,Rings scUSD,SCUSD,rings-scusd
THEO,Theo,THEO,
BITLAYER,Bitlayer,BITLAYER,bitlayer-bitvm
NEUTRL,Neutrl,NEUTRL,
ZORA,Zora,ZORA,zora
TEN,tenprotocol,TEN,obscuro
MOONOPOL,moonopol,MOONOPOL,
GAUNTLETNETWORK,Gauntlet Network,GAUNTLETNETWORK,
STO,StakeStone,STO,stakestone
COMMONCOMMON,Common,COMMON,
GIZA,Giza,GIZA,
INTUITION,Intuition,TRUST,
IFR,Inferium Ai,IFR,
FLAGSHIP,Flagship,FLAGSHIP,
ALTIUS,Altius,ALTIUS,
LEMON,Lemonrocks,LEMON,lemonrocks
LUCI,LUCI,LUCI,luci
CATI,Catizen,CATI,catizen
SIGMA,Sigma,SIGMA,sigma
COBY,coby,COBY,coby
A8,Ancient8,A8,ancient8
GOU,Gou,GOU,gou
GINNAN,Ginnan The Cat,GINNAN,ginnan-the-cat
DINERO,Dinero,DINERO,dinero-2
MIGGLES,Mister Miggles,MIGGLES,mister-miggles
GORPLES,Gorples Coin,GORPLES,
TROG,Trog,TROG,trog
JOEJOECOIN,Joe Coin,JOE,joe-coin
GLQ,GraphLinq Chain,GLQ,graphlinq-protocol
BOBBY,Bobby,BOBBY,bobby
OPEN,Open Custody Protocol,OPEN,qredo
MASA,Masa,MASA,masa-finance
AMU,Amulet Protocol,AMU,amulet-protocol
BOOP,Boop,BOOP,boop-2
EDEN,EDEN,EDEN,eden
NYAN,Nyan Heroes,NYAN,nyan
AZUR,Azuro,AZUR,azuro-protocol
CU,Crypto Unicorns,CU,crypto-unicorns
QUIL,Quilibrium,QUIL,wrapped-quil
TAI,TARS Protocol,TAI,tars-protocol
NGL,Entangle,NGL,entangle
TOKA,TOKA,TOKA,toka-2
RETARDIO,RETARDIO,RETARDIO,retardio
AIUS,Arbius,AIUS,arbius
RIO,Realio,RIO,realio-network
OMNIOMNINETWORK,Omni Network,OMNI,omni-network
MFER,mfercoin,MFER,mfercoin
BAG,catwifbag,BAG,catwifbag
NEWO,New Order,NEWO,new-order
PEPECOIN,PepeCoin,PEPECOIN,pepecoin-2
AIT,AIT Protocol,AIT,ait-protocol
SLERF,Slerf,SLERF,slerf
JUMBO,Jumbo Exchange,JUMBO,jumbo-exchange
STRDY,Sturdy,STRDY,sturdy
ROOT,The Root Network,ROOT,the-root-network
ULT,Shardus,ULT,shardus
NUM,Numbers Protocol,NUM,numbers-protocol
MWC,MimbleWimbleCoin,MWC,mimblewimblecoin
$MYRO,Myro,$MYRO,myro
MOG,Mog Coin,MOG,mog-coin
SNS,Synesis One,SNS,synesis-one
KIZUNA,Kizuna,KIZUNA,kizuna
STFX,STFX,STFX,stfx
RAIN,Precipitate.ai,RAIN,precipitate-ai
TURBOS,Turbos Finance,TURBOS,turbos-finance
SYMMIO,SYMMIO,SYMMIO,symmio
FIRE,Matr1x Fire,FIRE,matr1x-fire
WEN,Wen,WEN,wen-4
OMNI,OmniCat,OMNI,omnicat
MESON,Meson Network,MSN,meson-network
CAD,Cadence Protocol,CAD,cadence-protocol
EMP,Empyreal,EMP,empyreal
MAN,Matrix AI Network,MAN,matrix-ai-network
ENQAI,enqAI,ENQAI,noisegpt
MOROS,MOROS NET,MOROS,moros-net
ROKO,Roko Network,ROKO,roko-network
DERI,Deri Protocol,DERI,deri-protocol
NAVI,Atlas Navi,NAVI,atlas-navi
LSD,L7DEX,LSD,l7dex
OSAK,Osaka Protocol,OSAK,osaka-protocol
KEX,KIRA Network,KEX,kira-network
FIRO,Firo,FIRO,zcoin
WING,Wing Finance,WING,wing-finance
WINR,WINR Protocol,WINR,winr-protocol
DNT,district0x,DNT,district0x
SLIM,Solanium,SLIM,solanium
GMM,Gamium,GMM,gamium
CHEQ,cheqd,CHEQ,cheqd-network
KISHU,Kishu Inu,KISHU,kishu-inu
LEASH,Doge Killer,LEASH,leash
HDX,HydraDX,HDX,hydradx
VAIOT,VAIOT,VAI,vaiot
CAW,A Hunters Dream,CAW,a-hunters-dream
BLOK,Bloktopia,BLOK,bloktopia
ARCARC,ARC,ARC,arc
OPUL,Opulous,OPUL,opulous
STIK,Staika,STIK,staika
MTRG,Meter Governance,MTRG,meter
NTX,NUNET,NTX,nunet
JESUS,Jesus Coin,JESUS,jesus-coin
CAGA,Crypto Asset Governance Alliance,CAGA,crypto-asset-governance-alliance
ACE,Fusionist,ACE,endurance
SX,SX Network,SX,sx-network
EURC,EURC,EURC,euro-coin
ALPH,Alephium,ALPH,alephium
MAP,MAP Protocol,MAPO,marcopolo
CWEB,Coinweb,CWEB,coinweb
TBTC,tBTC,TBTC,tbtc
LON,Tokenlon,LON,tokenlon
BTRFLY,Redacted,BTRFLY,redacted
GFAL,Games for a Living,GFAL,games-for-a-living
SNEK,Snek,SNEK,snek
GEOD,Geodnet,GEOD,geodnet
SMT,Swarm Markets,SMT,swarm-markets
GOG,Guild of Guardians,GOG,guild-of-guardians
NYM,NYM,NYM,nym
MCB,MUX Protocol,MCB,mcdex
MRS,Metars Genesis,MRS,metars-genesis
VR,Victoria VR,VR,victoria-vr
OETH,Origin Ether,OETH,origin-ether
FNSA,FINSCHIA,FNSA,link
OLAS,Autonolas,OLAS,autonolas
TNC,TNC Coin,TNC,tnc-coin
XAI,Xai,XAI,xai
FTN,Fasttoken,FTN,fasttoken
CANTO,CANTO,CANTO,canto
QRDO,Qredo,QRDO,qredo
AKRO,Akropolis,AKRO,akropolis
VELOCORE,Velocore,VC,velocore
OT,Onchain Trade,OT,onchain-trade
KRL,kryll,KRL,kryll
VMPX,VMPX,VMPX,vmpx
PDT,ParagonsDAO,PDT,paragonsdao
PRISMA,Prisma Finance,PRISMA,prisma-governance-token
NCT,PolySwarm,NCT,polyswarm
SHPING,shping,SHPING,shping
ORCA,Orca,ORCA,orca
FIDA,Bonfida,FIDA,bonfida
UPI,Pawtocol,UPI,pawtocol
GST,Green Satoshi Token,GST,green-satoshi-token
FIS,Stafi,FIS,stafi
DREP,Drep,DREP,drep-new
MEDIA,Media Network,MEDIA,media-network
OOKI,Ooki,OOKI,ooki
AXL,Axelar,AXL,axelar
ACS,Access Protocol,ACS,access-protocol
PYUSD,PayPal USD,PYUSD,paypal-usd
CVTX,Carrieverse,CVTX,carrieverse
PORTO,FC Porto,PORTO,fc-porto
BOSON,Boson Protocol,BOSON,boson-protocol
CUDOS,Cudos,CUDOS,cudos
MEME,Memecoin,MEME,memecoin-2
SPA,Sperax,SPA,sperax
RARE,SuperRare,RARE,superrare
GEL,Gelato,GEL,gelato
RLB,Rollbit Coin,RLB,rollbit-coin
PRIME,Echelon Prime,PRIME,echelon-prime
LBR,Lybra Finance,LBR,lybra-finance
GLS,Glacier Network,GLS,glacier-network
MNRY,Moonray,MNRY,moonray
AXOL,AXOL,AXOL,axol
TANK,AgentTank,TANK,agenttank
BBL,Beoble,BBL,beoble
NLK,NuLink,NLK,nulink-2
VELAR,Velar,VELAR,velar
OVR,Ovr,OVR,ovr
ANON,Anon,ANON,super-anon
FRIDGE,FRIDGE,FRIDGE,
EXVG,Exverse,EXVG,exverse
LESTER,Litecoin Mascot,LESTER,litecoin-mascot
IQ50,IQ50,IQ50,iq50
BAN,Comedian,BAN,comedian
NAYM,Naym,NAYM,naym
NEURAL,NEURALAI,NEURAL,neuralai
PNUT,Peanut the Squirrel,PNUT,peanut-the-squirrel
KAIA,Kaia,KAIA,kaia
CB,Cheeseball,CB,cheeseball
REDO,Resistance Dog,REDO,resistance-dog
DOGGO,Doggo,DOGGO,doggo-3
BDX,Beldex,BDX,beldex
KARATE,Karate Combat,KARATE,karate-combat
MTC,Metatime Coin,MTC,metatime-coin
MAV,Maverick Protocol,MAV,maverick-protocol
BAT,Basic Attention Token,BAT,basic-attention-token
EOS,EOS,EOS,eos
BTG,Bitcoin Gold,BTG,bitcoin-gold
HOT,Holo,HOT,holotoken
HNT,Helium,HNT,helium
TWT,Trust Wallet Token,TWT,trust-wallet-token
USDD,USDD,USDD,usdd
LSK,Lisk,LSK,lisk
DENT,Dent,DENT,dent
REV,Revain,REV,revain
CEL,Celsius,CEL,celsius-degree-token
IOTX,IoTeX,IOTX,iotex
GUSD,Gemini Dollar,GUSD,gemini-dollar
MXC,MXC,MXC,mxc
ORBS,Orbs,ORBS,orbs
OCEAN,Ocean Protocol,OCEAN,ocean-protocol
JST,JUST,JST,just
SCRT,Secret,SCRT,secret
UMA,UMA,UMA,uma
BAL,Balancer,BAL,balancer
RENBTC,renBTC,RENBTC,renbtc
YFI,yearn.finance,YFI,yearn-finance
CSPR,Casper,CSPR,casper-network
ACA,Acala Token,ACA,acala
FXS,Frax Share,FXS,frax-share
DAO,DAO Maker,DAO,dao-maker
XCH,Chia,XCH,chia
MAID,MaidSafeCoin,MAID,maidsafecoin-token
MTL,Metal,MTL,metal
AVINOC,AVINOC,AVINOC,avinoc
PROM,Prom,PROM,prometeus
OXT,Orchid,OXT,orchid-protocol
XAUT,Tether Gold,XAUT,tether-gold
ORC,Orbit Chain,ORC,orbit-chain
DFI,DeFiChain,DFI,defichain
EVER,Everscale,EVER,everscale
WEMIX,WEMIX,WEMIX,wemix-token
BFC,Bifrost,BFC,bifrost
MDX,Mdex,MDX,mdex
BICO,Biconomy,BICO,biconomy
LUSD,Liquity USD,LUSD,liquity-usd
BNX,BinaryX,BNX,binaryx
ASTR,Astar,ASTR,astar
LOOKS,LooksRare,LOOKS,looksrare
WTRX,Wrapped TRON,WTRX,wrapped-tron
WEVER,Wrapped Everscale,WEVER,wrapped-ever
XVG,Verge,XVG,verge
PRO,Propy,PRO,propy
UTK,xMoney,UTK,utrust
CENNZ,CENNZnet,CENNZ,centrality
DERO,Dero,DERO,dero
AERGO,Aergo,AERGO,aergo
IDEX,IDEX,IDEX,aurora-dao
DAWN,Dawn Protocol,DAWN,dawn-protocol
ALPHA,Stella,ALPHA,alpha-finance
CUSD,Celo Dollar,CUSD,celo-dollar
XVS,Venus,XVS,venus
RAMP,RAMP,RAMP,ramp
STRK,Strike,STRK,strike
UFO,UFO Gaming,UFO,ufo-gaming
MNGO,Mango,MNGO,mango-markets
SBD,Steem Dollars,SBD,steem-dollars
KMD,Komodo,KMD,komodo
GXC,GXChain,GXC,gxchain
WAN,Wanchain,WAN,wanchain
UBT,Unibright,UBT,unibright
MUSD,mStable USD,MUSD,musd
AQT,Alpha Quark Token,AQT,alpha-quark-token
SFUND,Seedify.fund,SFUND,seedify-fund
MC,Merit Circle,MC,merit-circle
GENE,Genopets,GENE,genopets
RISE,EverRise,RISE,everrise
OAS,Oasys,OAS,oasys
FLOKI,FLOKI,FLOKI,floki
VELO,Velodrome Finance,VELO,velodrome-finance
GRAIL,Camelot,GRAIL,camelot-token
ASTER,Aster,ASTER,
OPENLEDGER,Openledger,OPENLEDGER,
CALDERA,Caldera,CALDERA,caldera
PARADEX,Paradex,DIME,
FORM,Form Network,FORM,form
GRT,The Graph,GRT,the-graph
THETA,Theta Network,THETA,theta-token
FLEXFLEX,FLEX,FLEX,flex
ME,Magic Eden,ME,magic-eden
IRON,Ironfish Crypto,IRON,iron-fish
BURGER,BurgerCities,BURGER,burger-swap
XDB,DigitalBits,XDB,digitalbits
KOK,KOK,KOK,kok
ASD,ASD,ASD,asd
XCN,Chain,XCN,chain-2
